20230208	13:00:52	e0ca6180-0ed0-42fa-8f02-5ad6fc82b16e	POST	undefined	/auth
20230208	13:01:01	d129b2e1-36db-4a13-925c-361889309153	GET	undefined	/logout
20230208	13:01:36	43ba0823-6c32-477c-b25e-9dcebb07213a	POST	undefined	/auth
20230208	13:01:56	abb3c5a4-dc8b-413b-ba98-0cc73a0e571e	GET	undefined	/logout
20230208	13:02:34	bab7f3d8-3da5-4576-a89b-845f8e4b842d	POST	undefined	/auth
20230208	13:02:39	68063f1a-9c1a-4a23-8635-85258d08ec50	GET	undefined	/refresh
20230208	13:04:44	a0fec21e-0dc7-4233-b266-002e2964c401	GET	undefined	/logout
20230208	13:05:01	2b947df4-6737-4c88-a01f-44c9a6bc0bf0	POST	undefined	/auth
20230208	13:05:14	2dd43290-7730-4839-86aa-e28db357a39a	GET	undefined	/refresh
20230208	13:06:42	96742025-05c6-409b-8188-f5b93e8326f6	GET	undefined	/refresh
